"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"bowiem";0;0,00110473358235121;0;0,00648906572696388;0;0,00113430912707558;0;0;0;0,00169678750457713;0,00618271498448919;0;0;0,0228662316093013;0;0;0,00802547404671856;0;0
"bo¿e";0;0;0,00245675138081266;0;0,00783250004684176;0;0,00231506438047743;0,00260176795537452;0;0;0;0;0;0;0;0;0;0;0
"bólu,";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00897217545150162;0;0,0140602922659895;0
"brakuje";0,0010148494713119;0;0;0;0;0,00209682284466333;0;0;0;0,00313659012099226;0;0;0;0;0;0;0;0;0
"brat";0,00123777725359893;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brata";0;0;0,00291034427619938;0;0;0;0;0,0030821354313917;0;0;0,00285725859734166;0;0;0;0;0;0;0;0
"brata.";0;0;0;0;0;0;0,00334493049788217;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"broni";0;0;0;0;0;0;0;0,0030821354313917;0;0,00313659012099226;0,00285725859734166;0;0;0;0;0;0;0;0
"broniæ";0;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0,00904715184803227;0;0
"broñ";0;0;0;0;0;0;0;0,0030821354313917;0;0,00313659012099226;0;0;0;0;0;0;0,00741772984045245;0;0
"brown,";0;0,00249074195816226;0;0;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budz¹";0,00123777725359893;0;0;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"budzi";0,000821648256098531;0,00165337808589152;0;0,0016186223903923;0,00125203543786443;0,000848820875591554;0,00222039652317461;0;0;0,00507892820730871;0,00115665505579536;0;0;0,0171111509841472;0;0;0;0;0
"byæ";0,000625938790361082;0,000419852603759581;0,000598347317270484;0,00082205374670044;0,00127174865343204;0,000431092752206688;0,00112767826014932;0;0;0,00193458584912542;0,000587433256762332;0;0,0014757083431334;0;0;0,00302479444918505;0;0,00474015407188306;0,00427724840080073
"byæ.";0;0;0,00354964755567605;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"byli";0,000733993680852219;0;0;0,00289189101885319;0;0;0,00198352154331228;0;0;0,0022685505518919;0;0;0,00519137309583888;0;0;0;0;0;0
"by³";0,00237791065823854;0,00191399925374783;0,00818313123569564;0;0;0,00786096071460526;0,00385559478921808;0;0;0;0,00401693405614888;0;0,0134547440802543;0;0,0137134891587207;0;0;0;0
"by³a";0,000475582131647708;0;0,00409156561784782;0,00187376503520058;0,00144939316311682;0;0;0;0;0;0,00133897801871629;0;0,0100910580601907;0;0;0,00344731357304858;0;0,00540228360798089;0
"by³o";0,000821648256098531;0,000826689042945762;0,00471257928743726;0,0032372447807846;0,00125203543786443;0,000848820875591554;0;0;0;0,00126973205182718;0,00115665505579536;0;0,0116226685930056;0;0;0;0;0;0
"by³o,";0,00123777725359893;0;0;0,00487676803820358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ca³a";0,00205412064024633;0;0,00117814482185931;0,0016186223903923;0,00125203543786443;0,00339528350236621;0,0011101982615873;0,00124768809259407;0;0,00253946410365435;0,00115665505579536;0;0;0;0;0;0;0;0
"ca³¹";0,00109799740197102;0,00110473358235121;0;0,00216302190898796;0;0;0,00148359690153036;0;0;0,00169678750457713;0,00463703623836689;0;0;0;0;0;0;0,0062362449843549;0
"ca³e";0,00247555450719785;0;0;0;0,00754454706955537;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ca³ej";0,0010148494713119;0;0;0;0;0,00209682284466333;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"ca³uje";0;0,0020421510833761;0;0;0;0;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0,0230559741361249;0
"ca³y";0,000548998700985511;0,00441893432940485;0,00157439627473878;0;0;0,00113430912707558;0,00296719380306072;0,00166732938817822;0;0;0;0;0;0;0;0;0;0,0062362449843549;0
"cedrik";0,00618888626799464;0;0;0;0;0,0102296929557278;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika";0,00247555450719785;0;0;0;0;0,00511484647786391;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika,";0,00123777725359893;0;0;0;0;0,00767226971679587;0;0;0;0;0;0;0;0;0;0;0;0;0
"celu";0,000633751910336292;0,00382583975319577;0;0,00749083339064157;0,00193143439340584;0,00130942126986018;0;0;0;0;0;0;0,0044823854790362;0;0;0;0;0;0
"centaur";0;0;0;0;0;0;0;0,00375917536278193;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"chang,";0,00123777725359893;0;0;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"charlie";0,0020296989426238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0147125138824444;0;0,0115279870680625;0
"charliego";0,0010148494713119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00735625694122218;0;0,0115279870680625;0
"chatê,";0;0,00249074195816226;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"chatki";0;0;0;0;0;0;0,00334493049788217;0;0,0477636399035821;0;0;0;0;0;0;0;0;0;0
"chc¹";0,000548998700985511;0,00110473358235121;0;0;0,00167313889824156;0,00113430912707558;0,00296719380306072;0;0;0,00169678750457713;0,00618271498448919;0;0;0;0;0;0;0;0
"chc¹c";0,000633751910336292;0;0,00363489620267198;0,00749083339064157;0;0,00130942126986018;0;0;0,0244553678341534;0;0;0;0;0;0;0;0;0;0,00649595708094699
"chce";0,000779810025537501;0,00078459413612362;0,000745435885978288;0,000512067444196797;0,00158437592490159;0,00107413202467738;0,00105366709938744;0,000789437309803396;0,00501524879169216;0,00160676993090726;0,00256143607816037;0;0;0,00541328441008043;0;0,000942090933246041;0,000949963559429156;0,0014763502936583;0
"chcia³";0,000951164263295416;0,000956999626873915;0,00681927602974637;0,00562129510560174;0;0,00294786026797697;0;0,00144436054796711;0;0;0;0;0,00336368602006357;0;0;0,00344731357304858;0;0;0
"chcia³a";0;0;0,00181744810133599;0,00749083339064157;0,00193143439340584;0,00523768507944072;0;0;0;0;0,0017842972239511;0;0,0044823854790362;0;0;0;0;0;0
"chcia³by";0,0010148494713119;0;0;0;0;0,00209682284466333;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"chcieli";0;0;0,00245675138081266;0,00337526653670208;0;0;0;0;0;0,00264773558709492;0;0;0,012118207619642;0;0;0;0;0;0
"ch³opak";0,00146798736170444;0;0;0;0,00671079936779172;0,00151653497524112;0;0;0;0;0,0103326149064175;0;0;0;0;0;0;0;0,00752343522873525
"ch³opca";0,00247555450719785;0;0,0070992951113521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ch³opca,";0;0;0,00354964755567605;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"ch³opców";0;0;0;0;0,00377227353477768;0,00767226971679587;0;0;0;0;0;0;0;0;0;0;0;0;0
"ch³opcu";0,000733993680852219;0;0,00210491739732921;0,00289189101885319;0;0,00151653497524112;0;0;0;0,0022685505518919;0;0;0;0;0;0;0;0;0
"ch³opcy";0,0010148494713119;0;0,00291034427619938;0;0;0,01258093706798;0;0;0;0;0;0;0;0;0;0;0;0;0
"ch³opiec";0;0;0,00631475219198762;0;0;0;0,0099176077165614;0;0,0283235208611209;0,0045371011037838;0;0;0,00519137309583888;0;0;0;0;0;0
"ch³opiec,";0;0;0;0;0;0,00255742323893196;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"cho";0,00371333176079678;0;0;0;0;0;0;0,0150367014511277;0;0;0;0;0;0;0;0;0;0;0
"chocia¿";0;0,0020421510833761;0;0;0;0,00209682284466333;0;0;0;0;0;0;0;0;0;0;0;0,0115279870680625;0
"choæ";0;0;0,00420983479465841;0;0;0;0;0;0;0,0022685505518919;0,004133045962567;0;0,00519137309583888;0;0;0,005320440382752;0;0;0
"chodzi";0;0;0;0,00337526653670208;0,00261083334894725;0,00177002166412881;0;0;0;0;0;0;0;0;0;0,0062097445122751;0;0;0
"chrzestnego.";0,00123777725359893;0;0;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"chrzestny";0,00247555450719785;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"chrzestnym";0;0,0020421510833761;0;0;0;0;0,00274249743843711;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"chwilê";0,00633751910336292;0,00255055983546385;0,00181744810133599;0,00249694446354719;0;0;0,00171263132103237;0;0;0;0,00356859444790221;0;0;0;0;0;0;0;0
"chwili";0,00274499350492756;0,00773313507645849;0;0;0;0;0,00445079070459109;0;0;0,00339357500915426;0,0030913574922446;0;0,00776588998051742;0;0;0,00795896459329271;0;0;0
"chyba";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"cia³a";0;0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0,0140602922659895;0
"cia³em";0,00123777725359893;0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"cia³o";0,00220198104255666;0,00147699341913821;0;0;0;0;0;0,00222916599369933;0;0,0022685505518919;0,0020665229812835;0;0;0;0;0;0;0;0
"cia³o.";0;0;0;0,00487676803820358;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ci¹gle";0;0;0;0;0;0,00209682284466333;0;0,0030821354313917;0;0,00313659012099226;0;0;0;0;0;0;0;0;0
"cichu";0,00123777725359893;0;0;0;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciemnego";0;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0,0356915111367427;0;0;0;0
"ciemnoœci,";0;0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0,0087545215995784;0;0;0;0;0;0
"ciemnoœci.";0;0;0;0;0;0,00255742323893196;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"ciemnoœæ.";0;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0,0087545215995784;0;0;0;0;0;0
"cierpi";0;0;0,00354964755567605;0;0;0;0;0;0;0;0;0;0;0;0;0,00897217545150162;0;0;0
"ciê¿ko";0;0;0;0,00487676803820358;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"cioci¹";0;0;0;0;0;0,00255742323893196;0;0;0;0;0;0,050748867397556;0;0;0;0;0;0;0
"ciotka";0;0;0;0;0;0,00255742323893196;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"cmentarzu";0,00123777725359893;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cofn¹æ";0;0;0;0;0;0,0102296929557278;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"colin";0;0,00249074195816226;0;0,00487676803820358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"coraz";0,00293597472340888;0;0;0;0;0,00151653497524112;0;0;0;0,0022685505518919;0;0;0;0;0;0,005320440382752;0,00536490088734324;0;0
"coœ";0,00164329651219706;0;0,00117814482185931;0,0016186223903923;0,00250407087572886;0,00339528350236621;0;0;0;0,00126973205182718;0,00231331011159071;0;0;0;0;0;0;0,00466667754113105;0,00421094731250497
"córka";0;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0,0140602922659895;0
"córk¹";0;0,00408430216675219;0;0;0;0,00209682284466333;0;0;0;0;0;0;0;0;0;0;0,00741772984045245;0;0
"crabbe'em";0;0;0;0,00487676803820358;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"creevey,";0;0,00249074195816226;0;0,00487676803820358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cross,";0;0;0,00354964755567605;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"cross.";0;0,00172387079251809;0;0,00337526653670208;0;0;0,00231506438047743;0,00260176795537452;0;0;0;0;0;0;0;0;0;0;0
"cruciatus.";0;0,00249074195816226;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"cudem";0;0;0,00354964755567605;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"cudowny";0;0;0;0;0;0;0;0;0;0;0;0;0,0087545215995784;0;0;0;0;0;0,012687216849389
"cullen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0220687708236665;0;0,0230559741361249;0,010402207080947
"cullenowie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0222531895213573;0,0115279870680625;0,020804414161894
"cullenów.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0180943036960645;0;0,012687216849389
"czarn¹";0,000951164263295416;0,00287099888062175;0,00136385520594927;0,00187376503520058;0,00289878632623365;0,00196524017865132;0,00128519826307269;0,00722180273983556;0;0;0;0;0;0;0;0;0;0;0
"czarnego";0,00371333176079678;0;0;0;0;0,00767226971679587;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarnemu";0,00123777725359893;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"czarny";0,00109799740197102;0,00331420074705364;0;0;0,00167313889824156;0,00113430912707558;0,00296719380306072;0,00166732938817822;0;0,00169678750457713;0;0;0;0;0;0;0;0;0
"czarodziej";0,0121781936557428;0;0;0;0;0;0,00274249743843711;0;0;0;0;0;0,0215334098063808;0;0;0;0;0;0
"czarodzieja";0,00247555450719785;0;0;0;0;0;0;0;0;0;0;0;0,0175090431991568;0;0;0;0;0;0
"czarodzieje";0,0123777725359893;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"czarodziejów";0,00257003907786995;0;0,00491350276162532;0;0,00261083334894725;0,00531006499238642;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarodziejów,";0;0;0,00354964755567605;0,00487676803820358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarodziejów.";0,00171335938524664;0,00344774158503617;0;0;0;0,00354004332825762;0,00231506438047743;0;0;0;0;0;0;0;0;0;0;0;0
"czarownic";0;0;0;0;0;0,00255742323893196;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"czarownica";0,000733993680852219;0;0;0;0;0;0;0;0;0,0022685505518919;0,0144656608689845;0;0;0,0305714193421623;0,0211648287753431;0;0;0;0
"czarownica,";0,00123777725359893;0;0;0;0;0;0;0;0;0;0,00696980153099482;0;0;0;0;0;0;0;0
"czarownicê";0;0;0;0;0;0;0;0;0;0;0,0104547022964922;0;0;0;0,0356915111367427;0;0;0;0
"czarownicê.";0;0;0;0;0;0;0;0;0;0,00382559188862613;0,00348490076549741;0;0;0;0;0;0;0;0
"czarownicy";0;0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0,0356915111367427;0;0;0;0
"czarownicy.";0;0;0;0;0;0;0;0;0;0;0,017424503827487;0;0;0;0,0713830222734854;0;0;0;0
"czarów";0,00123777725359893;0;0;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"czary";0,00618888626799464;0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
